"id","Marka_pojazdu","Model_pojazdu","Rok_produkcji","Przebieg","Pojemność_skokowa","Rodzaj_paliwa","Moc","Typ_nadwozia","Kolor","Cena"
"671","BMW","Seria 1","2014","256 000 km","1 995 cm3","Diesel","143 KM","Kompakt","Czarny","42900"
"672","Honda","Civic","2004","88 768 km","1 396 cm3","Benzyna","90 KM","Kompakt","Szary","15900"
"673","Honda","Accord","2008","196 000 km","1 998 cm3","Benzyna","155 KM","Sedan","Niebieski","27900"
"674","Volvo","V40","2013","218 800 km","1 560 cm3","Diesel","115 KM","Kompakt","Czarny","39500"
"675","Renault","Talisman","2018","168 500 km","1 618 cm3","Benzyna","150 KM","Kombi","Czarny","79800"
"676","Renault","Megane","2010","206 000 km","1 397 cm3","Benzyna","130 KM","Kombi","Szary","15800"
"677","Hyundai","i30 N","2021","33 000 km","1 998 cm3","Benzyna","280 KM","Kompakt","Czarny","32900"
"678","Audi","A3","2002","170 174 km","1 984 cm3","Benzyna","150 KM","Auta małe","Srebrny","13000"
"679","Peugeot","307","2004","175 000 km","1 587 cm3","Benzyna","110 KM","Kombi","Niebieski","10000"
"680","Renault","Espace","2002","211 000 km","1 870 cm3","Diesel","120 KM","Minivan","Błękitny","3000"
"681","Kia","Sorento","2020","49 000 km","1 598 cm3","Hybryda","180 KM","SUV","Biały","135300"
"682","Volvo","V40","2013","208 450 km","1 560 cm3","Diesel","115 KM","Kompakt","Szary","38500"
"683","Honda","Civic","2008","270 000 km","2 204 cm3","Diesel","140 KM","Kompakt","Srebrny","17500"
"684","Citroën","C3","2017","75 000 km","1 560 cm3","Diesel","75 KM","Auta miejskie","Szary","29900"
"685","Mercedes-Benz","CLS","2018","96 677 km","2 999 cm3","Hybryda","435 KM","Coupe","Szary","400500"
"686","BMW","Seria 5","2022","7 km","2 998 cm3","Benzyna","333 KM","Sedan","Czarny","401220"
"687","Volkswagen","T-Roc","2022","5 km","1 498 cm3","Benzyna","150 KM","SUV","Srebrny","110000"
"688","Ford","Focus","2012","140 000 km","1 596 cm3","Diesel","125 KM","Kombi","Biały","28900"
"689","Volvo","C30","2010","233 000 km","1 560 cm3","Diesel","109 KM","Kompakt","Czarny","23900"
"690","Mercedes-Benz","Klasa B","2010","282 000 km","1 991 cm3","Diesel","140 KM","Minivan","Srebrny","24900"
"691","Infiniti","QX70","2015","105 000 km","3 696 cm3","Benzyna","320 KM","SUV","Czarny","140220"
"692","BMW","Seria 5","2022","7 km","1 995 cm3","Diesel","190 KM","Sedan","Czarny","308430"
"693","Ford","Mondeo","2007","282 000 km","1 753 cm3","Diesel","125 KM","Kombi","Granatowy","14900"
"694","Opel","Astra","2011","118 000 km","1 398 cm3","Benzyna","87 KM","Kompakt","Niebieski","24900"
"695","Saab","9-3","2006","298 000 km","1 910 cm3","Diesel","120 KM","Sedan","Szary","11000"
"696","Citroën","C3","2011","120 000 km","1 397 cm3","Benzyna","95 KM","Auta miejskie","Niebieski","20900"
"697","BMW","Seria 5","2022","7 km","1 995 cm3","Diesel","190 KM","Sedan","Czarny","296910"
"698","Peugeot","308","2019","130 248 km","1 499 cm3","Diesel","102 KM","Kombi","Srebrny","59900"
"699","Toyota","Aygo","2017","73 800 km","998 cm3","Benzyna","69 KM","Auta małe","Niebieski","42000"
"700","BMW","Seria 5","2022","7 km","1 995 cm3","Diesel","190 KM","Sedan","Biały","292230"
"701","Volvo","S60","2008","255 000 km","2 400 cm3","Diesel","163 KM","Sedan","Szary","27900"
"702","Seat","Leon","2004","230 000 km","1 598 cm3","Benzyna","105 KM","Kompakt","Niebieski","8999"
"703","BMW","Seria 2","2017","115 000 km","1 995 cm3","Diesel","190 KM","Minivan","Czarny","99700"
"704","Peugeot","308","2009","311 290 km","1 560 cm3","Diesel","90 KM","Kombi","Srebrny","9900"
"705","BMW","Seria 1","2009","231 100 km","1 995 cm3","Diesel","143 KM","Kompakt","Biały","28900"
"706","Jeep","Wrangler","2012","115 000 km","3 605 cm3","Benzyna","284 KM","Kabriolet","Szary","110000"
"707","Seat","Leon","2015","206 000 km","1 598 cm3","Diesel","110 KM","Kombi","Brązowy","45900"
"708","BMW","Seria 7","2009","223 000 km","2 979 cm3","Benzyna","326 KM","Sedan","Szary","59900"
"709","MINI","Cooper S","2022","4 000 km","1 998 cm3","Benzyna","178 KM","Auta miejskie","Czarny","157000"
"710","Ford","Mondeo","2007","278 000 km","1 753 cm3","Diesel","125 KM","Kombi","Czarny","24999"
"711","Fiat","Bravo","2009","225 000 km","1 598 cm3","Diesel","105 KM","Kompakt","Czarny","15000"
"712","Ford","Focus","2019","170 400 km","1 498 cm3","Diesel","95 KM","Kombi","Niebieski","53900"
"713","Audi","A4","2009","266 200 km","1 968 cm3","Diesel","136 KM","Kombi","Szary","35999"
"714","Chevrolet","Aveo","2010","140 000 km","1 206 cm3","Benzyna","84 KM","Auta miejskie","Czerwony","6000"
"715","Skoda","Superb","2012","201 190 km","1 598 cm3","Diesel","105 KM","Sedan","Czarny","34200"
"716","Volvo","S80","2008","212 000 km","1 997 cm3","Diesel","136 KM","Sedan","Czarny","28900"
"717","Honda","Civic","2007","210 000 km","1 799 cm3","Benzyna","140 KM","Kompakt","Szary","26000"
"718","Subaru","Outback","2013","192 210 km","1 998 cm3","Diesel","150 KM","Kombi","Czarny","37000"
"719","Renault","Kangoo","2012","114 000 km","1 461 cm3","Diesel","75 KM","Minivan","Biały","15600"
"720","Fiat","500","2008","142 302 km","1 248 cm3","Diesel","75 KM","Auta małe","Biały","16000"
"721","Volvo","XC 90","2007","400 000 km","2 401 cm3","Diesel","185 KM","SUV","Inny kolor","33000"
"722","BMW","Seria 5","2004","318 000 km","2 979 cm3","Benzyna","231 KM","Sedan","Czarny","30900"
"723","Kia","Rio","2018","48 000 km","998 cm3","Benzyna","100 KM","Auta miejskie","Szary","49900"
"724","BMW","Seria 3","2008","209 987 km","1 995 cm3","Benzyna","143 KM","Sedan","Szary","21500"
"725","BMW","Seria 5","2012","290 450 km","2 993 cm3","Diesel","245 KM","Kombi","Inny kolor","52900"
"726","Citroën","C3","2019","47 000 km","1 199 cm3","Benzyna","83 KM","Auta miejskie","Szary","43000"
"727","Ford","Mondeo","2015","223 500 km","1 997 cm3","Diesel","150 KM","Sedan","Niebieski","45900"
"728","Toyota","Yaris","2017","144 922 km","1 497 cm3","Hybryda","75 KM","Auta miejskie","Biały","53900"
"729","Honda","CR-V","2020","34 000 km","1 498 cm3","Benzyna","193 KM","SUV","Szary","121800"
"730","Opel","Insignia","2013","210 354 km","1 956 cm3","Diesel","163 KM","Kombi","Inny kolor","31300"
"731","Volkswagen","Polo","2005","204 000 km","1 390 cm3","Benzyna","75 KM","Auta miejskie","Srebrny","11900"
"732","Ford","EDGE","2018","43 000 km","1 997 cm3","Benzyna","245 KM","SUV","Złoty","89900"
"733","Renault","Koleos","2019","71 500 km","1 995 cm3","Diesel","177 KM","SUV","Biały","120300"
"734","BMW","X6","2022","10 km","2 993 cm3","Diesel","286 KM","Coupe","Czarny","436300"
"735","Audi","A3","2011","191 584 km","1 598 cm3","Diesel","105 KM","Kompakt","Szary","34000"
"736","Skoda","Fabia","2013","198 000 km","1 598 cm3","Diesel","75 KM","Kombi","Srebrny","16000"
"737","BMW","Seria 5","2012","229 872 km","1 995 cm3","Diesel","184 KM","Sedan","Biały","60000"
"738","Mazda","3","2010","183 000 km","1 560 cm3","Diesel","109 KM","Kompakt","Czerwony","15900"
"739","Opel","Meriva","2010","221 010 km","1 248 cm3","Diesel","75 KM","Minivan","Szary","15900"
"740","Ford","Kuga","2015","165 000 km","1 997 cm3","Diesel","180 KM","SUV","Inny kolor","59900"
"741","Renault","Laguna","2008","320 000 km","1 995 cm3","Diesel","150 KM","Kombi","Czarny","19500"
"742","Hyundai","Kona","2022","1 000 km","998 cm3","Benzyna","120 KM","SUV","Bordowy","94900"
"743","Opel","Astra","2005","218 500 km","1 910 cm3","Diesel","120 KM","Kompakt","Granatowy","12000"
"744","Suzuki","Swift","2022","4 km","1 197 cm3","Benzyna","83 KM","Auta miejskie","Czerwony","76770"
"745","Opel","Zafira","2005","344 000 km","1 910 cm3","Diesel","150 KM","Minivan","Szary","11700"
"746","Renault","Megane","2016","119 460 km","1 461 cm3","Diesel","90 KM","Kompakt","Srebrny","46000"
"747","Mitsubishi","ASX","2014","198 000 km","1 590 cm3","Benzyna","117 KM","SUV","Czerwony","46900"
"748","Volvo","XC 60","2011","274 000 km","1 984 cm3","Diesel","163 KM","SUV","Czarny","49900"
"749","MINI","Countryman","2013","95 268 km","1 598 cm3","Benzyna","218 KM","SUV","Niebieski","70300"
"750","BMW","Seria 4","2018","32 300 km","1 998 cm3","Benzyna","252 KM","Sedan","Czarny","163900"
"751","Audi","A3","2010","253 000 km","1 984 cm3","Benzyna","200 KM","Kompakt","Biały","27500"
"752","Seat","Leon","2003","227 000 km","1 598 cm3","Benzyna","105 KM","Kompakt","Niebieski","8999"
"753","Toyota","Land Cruiser","1993","450 000 km","4 164 cm3","Diesel","160 KM","SUV","Szary","69900"
"754","BMW","X3","2013","174 000 km","1 997 cm3","Benzyna","245 KM","SUV","Niebieski","64900"
"755","Hyundai","ix35","2014","131 000 km","1 591 cm3","Benzyna","135 KM","SUV","Szary","54900"
"756","Citroën","C4","2009","485 000 km","1 360 cm3","Benzyna","90 KM","Kompakt","Czarny","9900"
"757","Volkswagen","Passat","2020","11 000 km","1 498 cm3","Benzyna","150 KM","Sedan","Srebrny","92900"
"758","BMW","X4","2019","141 000 km","2 993 cm3","Diesel","265 KM","SUV","Czarny","235900"
"759","Ford","Fusion","2015","96 500 km","1 999 cm3","Benzyna","240 KM","Sedan","Czerwony","62000"
"760","BMW","X1","2016","98 000 km","1 998 cm3","Benzyna","231 KM","Sedan","Biały","89900"
"761","Ford","Kuga","2012","142 000 km","1 997 cm3","Diesel","150 KM","SUV","Biały","43000"
"762","Volkswagen","Polo","2002","257 000 km","1 198 cm3","Benzyna","64 KM","Auta miejskie","Niebieski","8800"
"763","Volvo","S60","2007","327 000 km","1 984 cm3","Benzyna+LPG","180 KM","Sedan","Granatowy","22000"
"764","Mazda","3","2016","128 344 km","1 499 cm3","Diesel","105 KM","Kompakt","Biały","48900"
"765","BMW","Seria 3","2014","174 040 km","1 995 cm3","Diesel","183 KM","Sedan","Granatowy","52900"
"766","Volvo","V50","2008","208 000 km","1 998 cm3","Diesel","136 KM","Kombi","Czarny","19900"
"767","Lexus","IS","2000","301 300 km","1 988 cm3","Benzyna+LPG","155 KM","Sedan","Srebrny","13500"
"768","Volkswagen","Golf","2008","180 000 km","1 896 cm3","Diesel","105 KM","Kombi","Granatowy","15900"
"769","Volvo","V70","2006","360 000 km","2 401 cm3","Diesel","185 KM","Kombi","Srebrny","16900"
"770","Renault","Clio","2014","140 000 km","1 461 cm3","Diesel","75 KM","Kombi","Srebrny","29900"
"771","Mercedes-Benz","GLA","2015","116 971 km","1 595 cm3","Benzyna","156 KM","SUV","Biały","85000"
"772","Volkswagen","Golf","2009","149 122 km","1 390 cm3","Benzyna","80 KM","Kompakt","Czarny","21500"
"773","Toyota","Auris","2008","241 000 km","1 364 cm3","Diesel","90 KM","Kompakt","Srebrny","22900"
"774","Opel","Meriva","2007","240 122 km","1 598 cm3","Benzyna","105 KM","Minivan","Szary","11000"
"775","BMW","Seria 5","2007","259 000 km","2 993 cm3","Diesel","235 KM","Sedan","Czarny","39000"
"776","Fiat","Scudo","2004","317 000 km","2 000 cm3","Diesel","94 KM","Minivan","Srebrny","8900"
"777","Suzuki","Grand Vitara","2000","248 000 km","1 998 cm3","Diesel","87 KM","SUV","Zielony","13500"
"778","Kia","Carens","2013","305 000 km","1 685 cm3","Diesel","115 KM","Minivan","Złoty","31900"
"779","Chevrolet","Captiva","2010","132 900 km","1 991 cm3","Diesel","127 KM","SUV","Srebrny","30900"
"780","Opel","Tigra","2005","174 156 km","1 796 cm3","Benzyna","125 KM","Kabriolet","Niebieski","9900"
"781","Opel","Corsa","2003","300 500 km","1 248 cm3","Diesel","70 KM","Auta miejskie","Czerwony","4500"
"782","Opel","Corsa","1998","346 900 km","973 cm3","Benzyna","55 KM","Auta małe","Czerwony","2500"
"783","Volkswagen","Jetta","2011","202 211 km","1 598 cm3","Diesel","105 KM","Sedan","Szary","31900"
"784","Opel","Signum","2005","290 000 km","1 910 cm3","Diesel","150 KM","Kompakt","Czarny","12000"
"785","BMW","3GT","2017","104 152 km","1 998 cm3","Benzyna","252 KM","Sedan","Srebrny","119000"
"786","Seat","Ibiza","2006","178 150 km","1 390 cm3","Benzyna","75 KM","Auta miejskie","Czarny","12400"
"787","Mercedes-Benz","GLC","2018","65 000 km","2 143 cm3","Diesel","170 KM","SUV","Czarny","199998"
"788","Honda","CR-V","2007","244 000 km","1 997 cm3","Benzyna+LPG","150 KM","SUV","Czarny","36800"
"789","Mazda","CX-9","2010","197 000 km","3 726 cm3","Benzyna+LPG","277 KM","SUV","Czarny","47000"
"790","Fiat","500","2015","33 583 km","875 cm3","Benzyna","86 KM","Kompakt","Czarny","35000"
"791","Citroën","C6","2010","240 000 km","2 992 cm3","Diesel","241 KM","Sedan","Czarny","35500"
"792","Toyota","RAV4","2006","218 000 km","1 998 cm3","Benzyna","152 KM","SUV","Czarny","33900"
"793","Mercedes-Benz","Klasa C","2007","213 124 km","2 148 cm3","Diesel","136 KM","Sedan","Srebrny","31500"
"794","Audi","A4","2009","273 500 km","1 968 cm3","Diesel","143 KM","Kombi","Czarny","29900"
"795","Volvo","XC 60","2015","139 500 km","1 969 cm3","Benzyna","245 KM","SUV","Czarny","79700"
"796","Opel","Meriva","2011","212 447 km","1 248 cm3","Diesel","95 KM","Minivan","Granatowy","20700"
"797","Volvo","V50","2010","256 000 km","1 560 cm3","Diesel","109 KM","Kombi","Szary","18700"
"798","Audi","A4","2005","435 000 km","1 896 cm3","Diesel","115 KM","Sedan","Srebrny","13200"
"799","Citroën","Xsara Picasso","2005","236 200 km","1 749 cm3","Benzyna","117 KM","Minivan","Srebrny","7899"
"800","Chrysler","Grand Voyager","2004","237 000 km","3 301 cm3","Benzyna+LPG","174 KM","Minivan","Srebrny","23500"
"801","Dodge","Charger","2017","111 068 km","3 604 cm3","Benzyna","305 KM","Sedan","Czarny","84999"
"802","Volkswagen","T-Roc","2021","21 500 km","1 498 cm3","Benzyna","150 KM","SUV","Czarny","63295"
"803","Renault","Grand Scenic","2007","307 000 km","1 998 cm3","Benzyna+LPG","136 KM","Minivan","Granatowy","9900"
"804","Audi","A6","2002","302 000 km","2 671 cm3","Benzyna+LPG","250 KM","Kombi","Srebrny","16500"
"805","BMW","X5","2008","360 000 km","2 993 cm3","Diesel","235 KM","SUV","Srebrny","39000"
"806","Mercedes-Benz","Klasa E","1997","285 000 km","2 874 cm3","Diesel","129 KM","Sedan","Srebrny","15500"
"807","Nissan","370 Z","2018","26 500 km","3 696 cm3","Benzyna","344 KM","Coupe","Czarny","90000"
"808","Citroën","C4 Grand Picasso","2014","195 000 km","1 997 cm3","Diesel","150 KM","Minivan","Inny kolor","39900"
"809","Volvo","S60","2013","207 100 km","2 497 cm3","Benzyna","254 KM","Sedan","Granatowy","47000"
"810","Skoda","Octavia","2017","154 000 km","1 395 cm3","Benzyna","150 KM","Kompakt","Srebrny","64000"
"811","Mitsubishi","ASX","2011","179 000 km","1 798 cm3","Diesel","150 KM","SUV","Bordowy","36800"
"812","Ford","Fusion","2003","183 320 km","1 596 cm3","Benzyna","100 KM","Auta miejskie","Czarny","8900"
"813","Volvo","V50","2010","194 000 km","1 560 cm3","Diesel","115 KM","Kombi","Szary","25500"
"814","Citroën","C5","2012","199 000 km","1 598 cm3","Benzyna","156 KM","Kombi","Złoty","25800"
"815","Opel","Astra","2011","150 000 km","1 686 cm3","Diesel","110 KM","Kompakt","Czarny","24800"
"816","Audi","A4","2007","140 000 km","1 595 cm3","Benzyna","102 KM","Sedan","Srebrny","29700"
"817","Mercedes-Benz","Klasa C","2019","175 000 km","1 950 cm3","Diesel","245 KM","Kombi","Szary","134900"
"818","Nissan","Navara","2003","192 900 km","2 488 cm3","Diesel","136 KM","SUV","Zielony","33500"
"819","Volvo","V90 Cross Country","2017","124 000 km","1 969 cm3","Benzyna","320 KM","Kombi","Czarny","129900"
"820","Honda","Civic","2008","245 000 km","1 799 cm3","Benzyna","140 KM","Kompakt","Srebrny","22000"
"821","Volkswagen","Passat","2002","290 000 km","1 896 cm3","Diesel","130 KM","Kombi","Srebrny","9900"
"822","Opel","Mokka","2013","75 908 km","1 686 cm3","Diesel","130 KM","SUV","Biały","49800"
"823","Hyundai","I30","2009","145 878 km","1 396 cm3","Benzyna","109 KM","Kompakt","Granatowy","18500"
"824","Suzuki","Grand Vitara","2006","109 000 km","1 870 cm3","Diesel","129 KM","SUV","Granatowy","31000"
"825","MINI","Clubman","2008","181 800 km","1 598 cm3","Benzyna","175 KM","Auta miejskie","Granatowy","31000"
"826","Hyundai","I30","2013","192 000 km","1 582 cm3","Diesel","115 KM","Kombi","Niebieski","14900"
"827","Opel","Zafira","2001","325 800 km","1 995 cm3","Diesel","100 KM","Minivan","Srebrny","3700"
"828","BMW","Seria 3","2002","236 357 km","1 995 cm3","Benzyna","143 KM","Coupe","Srebrny","6900"
"829","Dacia","Duster","2010","278 000 km","1 598 cm3","Benzyna+LPG","105 KM","SUV","Czarny","27900"
"830","Ford","Fiesta","2006","268 500 km","1 388 cm3","Benzyna","80 KM","Auta miejskie","Czarny","8900"
"831","Mitsubishi","Grandis","2009","254 329 km","2 378 cm3","Benzyna","165 KM","Minivan","Szary","22900"
"832","Saab","9-3","1999","196 300 km","1 985 cm3","Benzyna","154 KM","Kabriolet","Niebieski","16900"
"833","Audi","A4","1997","326 434 km","1 595 cm3","Benzyna+LPG","101 KM","Sedan","Srebrny","10000"
"834","Chrysler","Pacifica","2018","74 658 km","3 605 cm3","Benzyna","291 KM","Minivan","Czarny","99900"
"835","Renault","Scenic","2005","270 000 km","1 870 cm3","Diesel","115 KM","Minivan","Srebrny","11000"
"836","BMW","Seria 2","2015","124 098 km","1 995 cm3","Diesel","150 KM","Minivan","Szary","61900"
"837","BMW","Seria 3","2011","231 000 km","2 979 cm3","Benzyna","306 KM","Coupe","Szary","46900"
"838","Land Rover","Range Rover Sport","2007","226 445 km","2 720 cm3","Diesel","190 KM","SUV","Granatowy","35900"
"839","Fiat","Freemont","2013","210 000 km","1 956 cm3","Diesel","170 KM","SUV","Czarny","42800"
"840","Volvo","XC 60","2012","287 973 km","2 400 cm3","Diesel","163 KM","SUV","Biały","52000"
"841","Peugeot","207","2007","171 367 km","1 598 cm3","Benzyna+LPG","120 KM","Kompakt","Czarny","17500"
"842","Opel","Vectra","2007","275 000 km","2 198 cm3","Benzyna","155 KM","Sedan","Czarny","13000"
"843","Opel","Vectra","2007","312 700 km","1 910 cm3","Diesel","150 KM","Sedan","Granatowy","11500"
"844","Ford","Kuga","2010","245 000 km","1 997 cm3","Diesel","140 KM","SUV","Srebrny","37700"
"845","Suzuki","SX4","2007","268 000 km","1 586 cm3","Benzyna","107 KM","SUV","Srebrny","15900"
"846","Volkswagen","Golf","2016","57 000 km","1 984 cm3","Benzyna","220 KM","Kompakt","Biały","75000"
"847","Renault","Trafic","2010","470 000 km","1 995 cm3","Diesel","114 KM","Minivan","Srebrny","37600"
"848","Volkswagen","Passat","2007","220 000 km","1 968 cm3","Diesel","140 KM","Kombi","Czarny","17700"
"849","Subaru","Outback","2018","60 660 km","2 498 cm3","Benzyna","175 KM","Kombi","Szary","156000"
"850","Volvo","S40","2005","220 000 km","2 435 cm3","Benzyna","140 KM","Sedan","Szary","16900"
"851","Porsche","911","2022","405 km","3 996 cm3","Benzyna","510 KM","Coupe","Czarny","1097560"
"852","BMW","Seria 5","2007","259 641 km","1 995 cm3","Diesel","177 KM","Kombi","Granatowy","26400"
"853","Mercedes-Benz","GLK","2013","130 000 km","2 143 cm3","Diesel","170 KM","SUV","Biały","105000"
"854","BMW","Seria 3","2005","218 248 km","1 995 cm3","Benzyna","129 KM","Sedan","Granatowy","16900"
"855","Skoda","Fabia","2017","118 946 km","999 cm3","Benzyna+LPG","75 KM","Kompakt","Czerwony","32000"
"856","Audi","A3","2015","58 573 km","1 390 cm3","Benzyna","125 KM","Kompakt","Brązowy","62500"
"857","Skoda","RAPID","2017","72 000 km","1 197 cm3","Benzyna","110 KM","Kompakt","Srebrny","53500"
"858","Skoda","Fabia","2005","192 000 km","1 896 cm3","Diesel","100 KM","Kombi","Złoty","15000"
"859","Renault","Kadjar","2019","117 000 km","1 461 cm3","Diesel","115 KM","SUV","Czarny","51499"
"860","Audi","Q3","2012","212 480 km","1 984 cm3","Benzyna","170 KM","SUV","Czarny","55900"
"861","Volvo","XC 60","2020","45 000 km","1 969 cm3","Hybryda","318 KM","SUV","Szary","274999"
"862","Audi","A4","2005","245 000 km","1 984 cm3","Benzyna","130 KM","Sedan","Czarny","16900"
"863","Peugeot","2008","2022","3 000 km","1 199 cm3","Benzyna","102 KM","SUV","Pomarańczowy","107800"
"864","Dacia","Sandero","2018","24 000 km","999 cm3","Benzyna","73 KM","Auta miejskie","Brązowy","45000"
"865","Nissan","Qashqai","2014","73 464 km","1 197 cm3","Benzyna","115 KM","SUV","Bordowy","53900"
"866","BMW","Seria 5","2014","198 956 km","1 995 cm3","Diesel","190 KM","Kombi","Czarny","61900"
"867","Toyota","Avensis","2008","218 000 km","1 998 cm3","Diesel","126 KM","Kombi","Inny kolor","14900"
"868","Ford","Mondeo","2018","95 000 km","1 498 cm3","Benzyna","160 KM","Kombi","Biały","67800"
"869","BMW","X3","2009","281 904 km","1 995 cm3","Diesel","136 KM","SUV","Czarny","30000"
"870","Ford","Focus","2016","68 971 km","1 596 cm3","Benzyna","105 KM","Kompakt","Niebieski","42000"
"871","Fiat","Punto 2012","2014","98 120 km","1 368 cm3","Benzyna","77 KM","Auta miejskie","Szary","28300"
"872","Fiat","Freemont","2015","184 000 km","1 956 cm3","Diesel","140 KM","SUV","Biały","56900"
"873","Citroën","C5 Aircross","2022","21 300 km","1 499 cm3","Diesel","130 KM","SUV","Biały","149800"
"874","Audi","A6","2009","246 000 km","1 984 cm3","Benzyna","170 KM","Sedan","Szary","39900"
"875","BMW","X6","2009","215 000 km","2 993 cm3","Diesel","235 KM","Coupe","Biały","56900"
"876","Skoda","Scala","2019","71 000 km","999 cm3","Benzyna","115 KM","Kompakt","Czarny","61900"
"877","Volkswagen","Passat","2006","400 000 km","1 968 cm3","Diesel","140 KM","Kombi","Srebrny","9500"
"878","Saab","9-3","2007","141 000 km","1 998 cm3","Benzyna+LPG","150 KM","Sedan","Srebrny","27000"
"879","Toyota","Auris","2017","96 000 km","1 598 cm3","Benzyna","132 KM","Kompakt","Inny kolor","58900"
"880","Ford","Fiesta","2012","73 336 km","1 242 cm3","Benzyna","82 KM","Auta miejskie","Srebrny","19000"
"881","Audi","Q5","2018","87 000 km","1 984 cm3","Benzyna","252 KM","SUV","Niebieski","174000"
"882","Kia","Ceed","2022","4 900 km","1 580 cm3","Hybryda","105 KM","Kombi","Szary","21900"
"883","Volvo","V40","2013","205 000 km","1 560 cm3","Diesel","115 KM","Kompakt","Czarny","39900"
"884","Hyundai","I30","2022","5 km","998 cm3","Benzyna","120 KM","Kompakt","Srebrny","86700"
"885","Hyundai","i20","2022","5 km","998 cm3","Benzyna","100 KM","Auta miejskie","Beżowy","69900"
"886","BMW","X1","2011","224 000 km","1 995 cm3","Diesel","143 KM","SUV","Szary","42900"
"887","Fiat","Doblo","2010","305 000 km","1 368 cm3","Benzyna+LPG","95 KM","Minivan","Niebieski","16605"
"888","Honda","Civic","2018","99 000 km","1 498 cm3","Benzyna","182 KM","Kompakt","Inny kolor","92900"
"889","Volkswagen","Golf","2009","270 000 km","1 968 cm3","Diesel","140 KM","Kompakt","Szary","34900"
"890","Audi","A6","2011","263 048 km","1 968 cm3","Diesel","170 KM","Kombi","Szary","35900"
"891","Mitsubishi","Lancer","2014","86 119 km","1 798 cm3","Benzyna","140 KM","Kompakt","Szary","41000"
"892","Volkswagen","Polo","2001","170 000 km","1 198 cm3","Benzyna","64 KM","Auta miejskie","Srebrny","6500"
"893","Renault","Grand Espace","2003","220 000 km","1 998 cm3","Benzyna","165 KM","Minivan","Szary","10300"
"894","BMW","X3","2017","76 557 km","1 997 cm3","Benzyna","245 KM","SUV","Czarny","97500"
"895","Kia","Stonic","2020","13 500 km","1 197 cm3","Benzyna","84 KM","Auta miejskie","Niebieski","77244"
"896","Seat","Leon","2011","131 000 km","1 598 cm3","Diesel","105 KM","Kompakt","Srebrny","27900"
"897","Renault","Megane","2017","68 300 km","1 598 cm3","Benzyna","115 KM","Sedan","Czarny","58900"
"898","Renault","Trafic","2006","92 000 km","1 995 cm3","Diesel","114 KM","Minivan","Czerwony","22900"
"899","Ferrari","Testarossa","1992","23 374 km","4 943 cm3","Benzyna","428 KM","Coupe","Czerwony","1050000"
"900","Mercedes-Benz","CL","2004","84 481 km","5 980 cm3","Benzyna","612 KM","Coupe","Czarny","2e+05"
"901","Mazda","CX-5","2013","110 890 km","2 191 cm3","Diesel","150 KM","SUV","Czarny","59990"
"902","Chrysler","Pacifica","2017","125 000 km","3 605 cm3","Benzyna+LPG","291 KM","Minivan","Bordowy","104900"
"903","Audi","A4","2001","316 000 km","1 896 cm3","Diesel","100 KM","Kombi","Czarny","11600"
"904","Toyota","Auris","2016","192 000 km","1 798 cm3","Hybryda","99 KM","Kompakt","Szary","64900"
"905","Ford","Sierra","1991","110 919 km","1 998 cm3","Benzyna","120 KM","Sedan","Czerwony","16900"
"906","BMW","Seria 3","2013","170 000 km","1 997 cm3","Benzyna","245 KM","Sedan","Szary","58700"
"907","Audi","Q5","2017","107 000 km","1 968 cm3","Diesel","190 KM","SUV","Czarny","139900"
"908","Honda","CR-V","2009","197 335 km","2 204 cm3","Diesel","140 KM","SUV","Szary","41900"
"909","Kia","Pro_cee'd","2009","129 000 km","1 396 cm3","Benzyna","109 KM","Coupe","Szary","18900"
"910","Peugeot","308","2008","170 000 km","1 560 cm3","Diesel","110 KM","Auta miejskie","Szary","17500"
"911","Ford","Mondeo","2016","148 883 km","1 999 cm3","Benzyna","240 KM","Sedan","Szary","48700"
"912","Toyota","Avensis","2018","81 616 km","1 995 cm3","Diesel","143 KM","Kombi","Srebrny","77500"
"913","BMW","Seria 7","1985","211 000 km","2 788 cm3","Benzyna","183 KM","Sedan","Zielony","35000"
"914","Volvo","XC 60","2010","253 000 km","2 400 cm3","Diesel","163 KM","SUV","Biały","58700"
"915","BMW","Seria 5","2002","259 000 km","2 171 cm3","Benzyna","170 KM","Sedan","Błękitny","23900"
"916","Opel","Zafira","2006","202 000 km","1 598 cm3","Benzyna","105 KM","Minivan","Błękitny","14500"
"917","Volkswagen","Tiguan","2016","124 000 km","1 984 cm3","Benzyna","211 KM","SUV","Biały","41800"
"918","Skoda","Superb","2014","239 000 km","1 968 cm3","Diesel","140 KM","Kombi","Czarny","58800"
"919","Citroën","Berlingo","2013","187 000 km","1 598 cm3","Benzyna+LPG","120 KM","Minivan","Srebrny","34800"
"920","Audi","A3","2010","294 000 km","1 598 cm3","Diesel","105 KM","Kompakt","Biały","25000"
"921","Opel","Vectra","2006","237 000 km","1 796 cm3","Benzyna+LPG","140 KM","Kombi","Srebrny","10500"
"922","Audi","TT","2001","245 000 km","1 781 cm3","Benzyna","225 KM","Coupe","Srebrny","17200"
"923","Hyundai","I30","2012","132 000 km","1 582 cm3","Diesel","110 KM","Auta miejskie","Niebieski","38900"
"924","Toyota","Auris","2008","176 000 km","1 598 cm3","Benzyna","132 KM","Auta miejskie","Czarny","21500"
