"id","Marka_pojazdu","Model_pojazdu","Rok_produkcji","Przebieg","Pojemność_skokowa","Rodzaj_paliwa","Moc","Typ_nadwozia","Kolor","Cena"
"267","Suzuki","Grand Vitara","1999","239 000 km","1 995 cm3","Benzyna+LPG","128 KM","SUV","Inny kolor","26000"
"268","Volkswagen","Passat","2008","237 291 km","1 896 cm3","Diesel","105 KM","Kombi","Szary","26900"
"269","Seat","Ibiza","2016","57 925 km","1 197 cm3","Benzyna","90 KM","Auta miejskie","Srebrny","42900"
"270","Opel","Insignia","2014","201 920 km","1 956 cm3","Diesel","140 KM","Kombi","Niebieski","37900"
"271","Peugeot","307","2008","199 000 km","1 587 cm3","Benzyna+LPG","110 KM","Kombi","Szary","14999"
"272","Seat","Leon","2016","172 000 km","1 968 cm3","Diesel","150 KM","Kombi","Biały","62000"
"273","Renault","Clio","2015","161 000 km","1 461 cm3","Diesel","75 KM","Auta miejskie","Biały","27060"
"274","Nissan","Micra","2011","157 013 km","1 198 cm3","Benzyna","98 KM","Auta miejskie","Biały","21200"
"275","Peugeot","3008","2009","160 000 km","1 598 cm3","Benzyna","150 KM","SUV","Czarny","25900"
"276","Nissan","Note","2012","203 780 km","1 386 cm3","Benzyna","88 KM","Auta miejskie","Bordowy","22599"
"277","Audi","Q7","2018","93 900 km","2 967 cm3","Diesel","272 KM","SUV","Biały","204999"
"278","Ford","Focus","2008","199 000 km","1 798 cm3","Benzyna","125 KM","Kombi","Czarny","19900"
"279","Volvo","V60","2022","10 000 km","1 969 cm3","Diesel","197 KM","Kombi","Czarny","208900"
"280","Mercedes-Benz","Klasa E","2004","247 203 km","3 222 cm3","Diesel","204 KM","Sedan","Czarny","31900"
"281","Ford","Fusion","2006","199 000 km","1 596 cm3","Benzyna","100 KM","Auta miejskie","Niebieski","13999"
"282","Volvo","XC 40","2020","28 900 km","1 498 cm3","Benzyna","163 KM","Kombi","Czerwony","152000"
"283","Hyundai","I30","2022","18 304 km","1 498 cm3","Benzyna","110 KM","Kombi","Biały","79900"
"284","Citroën","Berlingo","2014","118 000 km","1 560 cm3","Diesel","114 KM","Minivan","Szary","49077"
"285","Seat","Leon","2018","62 898 km","1 395 cm3","Benzyna","125 KM","Kombi","Szary","69900"
"286","Ford","Focus","2018","40 488 km","1 496 cm3","Benzyna","150 KM","Kompakt","Czerwony","83900"
"287","Citroën","C4 Picasso","2015","81 000 km","1 199 cm3","Benzyna","130 KM","Minivan","Czarny","59900"
"288","Kia","Niro","2018","95 500 km","1 580 cm3","Hybryda","105 KM","Kompakt","Biały","86900"
"289","Audi","A5","2009","302 000 km","2 967 cm3","Diesel","240 KM","Coupe","Srebrny","41000"
"290","Ford","Galaxy","2011","281 255 km","1 997 cm3","Diesel","163 KM","Minivan","Czarny","42900"
"291","Opel","Astra","2013","225 800 km","1 686 cm3","Diesel","110 KM","Kombi","Srebrny","28000"
"292","Volkswagen","Tiguan","2018","152 000 km","1 968 cm3","Diesel","150 KM","SUV","Biały","89900"
"293","BMW","Seria 3","2007","306 000 km","2 993 cm3","Diesel","231 KM","Kombi","Niebieski","32500"
"294","Skoda","Octavia","2012","220 000 km","1 598 cm3","Diesel","105 KM","Kombi","Czarny","29900"
"295","Mercedes-Benz","Klasa S","2017","95 000 km","3 982 cm3","Benzyna","469 KM","Sedan","Czarny","339000"
"296","Mercedes-Benz","GLE","2017","293 000 km","2 987 cm3","Diesel","258 KM","SUV","Czarny","147900"
"297","Volkswagen","Tiguan","2011","213 800 km","1 968 cm3","Diesel","110 KM","SUV","Biały","45800"
"298","Renault","Megane","2018","162 025 km","1 461 cm3","Diesel","110 KM","Kombi","Szary","72447"
"299","Ford","S-Max","2011","221 107 km","1 997 cm3","Diesel","163 KM","Minivan","Biały","41900"
"300","Alfa Romeo","Stelvio","2020","62 000 km","2 891 cm3","Benzyna","510 KM","SUV","Czarny","249900"
"301","Peugeot","508","2014","238 472 km","1 997 cm3","Diesel","180 KM","Sedan","Inny kolor","42900"
"302","Nissan","Qashqai","2010","193 000 km","1 995 cm3","Diesel","150 KM","SUV","Biały","36900"
"303","Hyundai","ix35","2010","192 300 km","1 998 cm3","Benzyna","163 KM","SUV","Szary","42900"
"304","Audi","A3","2005","247 300 km","1 598 cm3","Benzyna","115 KM","Auta małe","Szary","14500"
"305","Audi","A6","2015","188 000 km","2 967 cm3","Diesel","218 KM","Kombi","Granatowy","121770"
"306","Renault","Scenic","2008","196 000 km","1 998 cm3","Benzyna","134 KM","Minivan","Srebrny","13900"
"307","Citroën","C4 Grand Picasso","2008","218 000 km","1 997 cm3","Benzyna","140 KM","Minivan","Szary","13500"
"308","Peugeot","508","2011","109 000 km","1 598 cm3","Benzyna","156 KM","Sedan","Szary","29900"
"309","Toyota","Auris","2016","63 694 km","1 598 cm3","Benzyna","132 KM","Kompakt","Czerwony","60000"
"310","Ford","Focus C-Max","2005","197 126 km","1 798 cm3","Benzyna","125 KM","Minivan","Srebrny","14500"
"311","Kia","Sportage","2012","192 137 km","1 995 cm3","Diesel","184 KM","SUV","Inny kolor","45000"
"312","Nissan","Qashqai","2018","32 400 km","1 197 cm3","Benzyna","115 KM","SUV","Fioletowy","76500"
